"","Ingles","Espanol"
"2554","simplify","simplificar"
"2555","private","privada"
"2556","modes","modos"
"2557","interested","interesadas"
"2558","communications","comunicaciones"
"2559","operation","operaciã"
"2560","constantly","constantemente"
"2561","ppe","ppe"
"2562","islands","islas"
"2563","argue","discutir"
"2564","appropriate","apropiado"
"2565","old","antiguo"
"2566","redaction","redacciã"
"2567","say","dirã­a"
"2568","hopes","esperanzas"
"2569","dangerous","peligrosas"
"2570","directed","dirigidas"
"2571","basic","sico"
"2572","dependence","dependencia"
"2573","Nica","nicas"
"2574","administrative","administrativos"
"2575","ass","culo"
"2576","anza","anza"
"2577","urgently","urgentemente"
"2578","related","relacionado"
"2579","migrate","migraciã"
"2580","tragedy","tragedia"
"2581","attack","ataque"
"2582","available","disponible"
"2583","modernization","modernizaciã"
"2584","pertinent","pertinentes"
"2585","tell","diga"
"2586","in front of","delante"
"2587","constitute","constituir"
"2588","Leave","abandonar"
"2589","railway","ferroviario"
"2590","queries","consultas"
"2591","bosnia","bosnia"
"2592","sicas","sicas"
"2593","fear","miedo"
"2594","formulated","formulado"
"2595","obvious","obvio"
"2596","none","ninguno"
"2597","found","encontrado"
"2598","federal","federal"
"2599","cash","efectivo"
"2600","traditional","tradicionales"
"2601","politically","polã­ticamente"
"2602","candidate","candidato"
"2603","shares","comparte"
"2604","lingã","lingã"
"2605","meet","cumple"
"2606","achievement","logro"
"2607","bce","bce"
"2608","maastricht","maastricht"
"2609","speed up","acelerar"
"2610","Belgian","belga"
"2611","basã","basã"
"2612","abuses","abusos"
"2613","honor","honor"
"2614","applied","aplicado"
"2615","directed","encaminadas"
"2616","agreements","convenios"
"2617","approve","apruebe"
"2618","cancer","ncer"
"2619","roads","carreteras"
"2620","constructive","constructivo"
"2621","stable","estable"
"2622","the A","elã"
"2623","worrying","preocupante"
"2624","complex","complejo"
"2625","chain","cadena"
"2626","childish","infantil"
"2627","let's do","hagamos"
"2628","liberation","liberaciã"
"2629","try","intenta"
"2630","approved","aprobadas"
"2631","Irish","irlandesa"
"2632","individual","individual"
"2633","satisfactory","satisfactoria"
"2634","disaster","desastre"
"2635","reflect","reflexionar"
"2636","they put","ponen"
"2637","ol","ol"
"2638","grant","concede"
"2639","necessarily","necesariamente"
"2640","crime","delito"
"2641","rhythm","ritmo"
"2642","I propose","propongo"
"2643","adopt","adopten"
"2644","let's be","estemos"
"2645","Slovakia","eslovaquia"
"2646","guilt","culpa"
"2647","developed","desarrollados"
"2648","I decided","decidiã"
"2649","organized","organizado"
"2650","stage","etapa"
"2651","probable","probable"
"2652","losses","rdidas"
"2653","berlãn","berlã­n"
"2654","require","requieren"
"2655","convert","convertir"
"2656","sphere","esfera"
"2657","pacific","pacã­fica"
"2658","we discuss","debatimos"
"2659","feed","alimentaciã"
"2660","participants","participantes"
"2661","you accept","acepta"
"2662","participated","participado"
"2663","share","compartir"
"2664","scientific","cientã­fico"
"2665","prestaciã","prestaciã"
"2666","convert","convierta"
"2667","eyes","ojos"
"2668","we know","conocemos"
"2669","forests","bosques"
"2670","transactions","transacciones"
"2671","wealth","riqueza"
"2672","produce","produzca"
"2673","destined","destinada"
"2674","annexed","anexo"
"2675","disability","discapacidad"
"2676","addressed","dirigido"
"2677","semos","semos"
"2678","Italian","italiano"
"2679","I come","venido"
"2680","import","importaciã"
"2681","integrated","integrado"
"2682","fleet","flota"
"2683","direct","directo"
"2684","generations","generaciones"
"2685","promises","promesas"
"2686","Dear","querido"
"2687","take","tomen"
"2688","fishing","pesquero"
"2689","cuts","recortes"
"2690","summer","verano"
"2691","apply","apliquen"
"2692","contract","contrataciã"
"2693","spring","primavera"
"2694","preparations","preparados"
"2695","millennium","milenio"
"2696","stay","quede"
"2697","difficulty","dificultad"
"2698","under","debajo"
"2699","confirm","confirmar"
"2700","imposition","imposiciã"
"2701","boats","barcos"
"2702","favor","favorecer"
"2703","delays","retrasos"
"2704","I think","opino"
"2705","to convince","convencer"
"2706","pair","par"
"2707","to put on","ponerse"
"2708","manage","gestionar"
"2709","railway","ferrocarril"
"2710","Swedish","sueca"
"2711","Yugoslavia","yugoslavia"
"2712","elevated","elevados"
"2713","minute","minuto"
"2714","we propose","proponemos"
"2715","advantage","ventaja"
"2716","initiated","iniciado"
"2717","contributions","contribuciones"
"2718","known","conoce"
"2719","inflation","inflaciã"
"2720","information","informaciones"
"2721","glad","alegro"
"2722","result","resultan"
"2723","trip","viaje"
"2724","planet","planeta"
"2725","buildings","edificios"
"2726","widely","ampliamente"
"2727","relatives","familiares"
"2728","oar","oã­r"
"2729","obtained","obtenido"
"2730","pse","pse"
"2731","advanced","avanzado"
"2732","count","cuentan"
"2733","highlight","resaltar"
"2734","recover","recuperar"
"2735","applicants","solicitantes"
"2736","believe","creer"
"2737","interest","interesa"
"2738","we give","damos"
"2739","to transmit","transmitir"
"2740","so many","tantos"
"2741","pose","plantean"
"2742","Morocco","marruecos"
"2743","judgment","sentencia"
"2744","clothes","reviste"
"2745","I agree","coincido"
"2746","loop","gaza"
"2747","minimum","mã­nimas"
"2748","Following","siguiendo"
"2749","Turkish","turco"
"2750","come back","vuelva"
"2751","providers","proveedores"
"2752","hungry","hambre"
"2753","biolã","biolã"
"2754","albania","albania"
"2755","indicated","indicado"
"2756","Palestinian","palestino"
"2757","will vote","votarã"
"2758","expected","prevista"
"2759","tool","herramienta"
"2760","accept","aceptaciã"
"2761","visa","visado"
"2762","obliged","obligado"
"2763","comprensiã","comprensiã"
"2764","I repeat","repito"
"2765","incentives","incentivos"
"2766","identify","identificar"
"2767","Lithuania","lituania"
"2768","science","ciencia"
"2769","exchanges","intercambios"
"2770","refer","refieren"
"2771","Ambition","ambiciã"
"2772","holdings","explotaciones"
"2773","concentration","concentraciã"
"2774","possibly","posiblemente"
"2775","massive","masiva"
"2776","see","verse"
"2777","journalists","periodistas"
"2778","errã","errã"
"2779","satisfy","satisfacer"
"2780","christian christians","cratacristianos"
"2781","private","privados"
"2782","culture","cultivo"
"2783","explanations","explicaciones"
"2784","later","posteriormente"
"2785","breastplate","corazã"
"2786","ban","prohibir"
"2787","assignment","asignaciã"
"2788","show","muestran"
"2789","they demand","exigen"
"2790","considerable","considerables"
"2791","keep","conservar"
"2792","Respect","respeten"
"2793","internal","internos"
"2794","lares","lares"
"2795","occupation","ocupaciã"
"2796","achievements","logros"
"2797","state","estatal"
"2798","Geneva","ginebra"
"2799","latina","latina"
"2800","it gave","dio"
"2801","religion","religiã"
"2802","so much","tanta"
"2803","milk","leche"
"2804","transit","nsito"
"2805","charges","cargas"
"2806","born","naciã"
"2807","island","islã"
"2808","expresses","expresa"
"2809","twenty","veinte"
"2810","azãºcar","azãºcar"
"2811","keep up","mantenga"
"2812","comment","comentar"
"2813","rustic","stico"
"2814","glen","canadã"
"2815","use","utiliza"
"2816","present","presentan"
"2817","to collaborate","colaborar"
"2818","tackles","aborda"
"2819","firmness","firmeza"
"2820","U.S","estadounidense"
"2821","work","funcione"
"2822","gicamente","gicamente"
"2823","being","estando"
"2824","doing","realizando"
"2825","drama","dramã"
"2826","ground","suelo"
"2827","biles","biles"
"2828","official","oficiales"
"2829","justly","justamente"
"2830","whose","cuyas"
"2831","set","fijado"
"2832","brand","marca"
"2833","I carried","lleve"
"2834","generate","generar"
"2835","socialdemã","socialdemã"
"2836","Composition","composiciã"
"2837","categories","categorã­as"
"2838","cadas","cadas"
"2839","improved","mejorado"
"2840","distance","distancia"
"2841","abuse","abuso"
"2842","Rome","roma"
"2843","physically","sicamente"
"2844","similar","semejante"
"2845","to stimulate","estimular"
"2846","debãa","debã­a"
"2847","note","constatar"
"2848","loans","stamos"
"2849","to coordinate","coordinar"
"2850","entities","entidades"
"2851","tamaã","tamaã"
"2852","dedicated","dedicado"
"2853","related","relacionada"
"2854","happened","sucedido"
"2855","behind","detrã"
"2856","actors","actores"
"2857","home","residencia"
"2858","paragraph","rrafo"
"2859","standards","ndares"
"2860","EEC","cee"
"2861","exposed","expuesto"
"2862","alcohol","alcohol"
"2863","romanã","romanã­"
"2864","utility","utilidad"
"2865","first","primeras"
"2866","police","policial"
"2867","environmental","ambientales"
"2868","querrãa","querrã­a"
"2869","administrative","administrativas"
"2870","Finalize","finalizar"
"2871","integrity","integridad"
"2872","must","deba"
"2873","constitutional","constitucionales"
"2874","hu","hu"
"2875","limitations","limitaciones"
"2876","fishing","pesqueros"
"2877","I understand","comprendo"
"2878","orâ","orâ"
"2879","soviã","soviã"
"2880","summary","resumen"
"2881","height","altura"
"2882","extreme","extrema"
"2883","floods","inundaciones"
"2884","observers","observadores"
"2885","united","unida"
"2886","exit","salida"
"2887","wearing","llevando"
"2888","I had","hubiese"
"2889","cloth","telã"
"2890","applying","aplicando"
"2891","qualified","cualificada"
"2892","to admit","admitir"
"2893","consolidate","consolidar"
"2894","nime","nime"
"2895","increase","aumenta"
"2896","specifically","especã­ficamente"
"2897","associates","asociados"
"2898","suppress","suprimir"
"2899","underlines","subraya"
"2900","rejected","rechazado"
"2901","depend","dependen"
"2902","viable","viable"
"2903","particular","particulares"
"2904","satisfy","satisface"
"2905","health","sanidad"
"2906","italian","italiana"
"2907","legislative","legislativos"
"2908","terrible","terrible"
"2909","provide","proporciã"
"2910","modified","modificados"
"2911","pretend","pretenden"
"2912","fishes","peces"
"2913","distribution","reparto"
"2914","represiã","represiã"
"2915","closes","cierra"
"2916","developing","desarrollando"
"2917","olaf","olaf"
"2918","israelães","israelã­es"
"2919","Foreign","extranjero"
"2920","many","tantas"
"2921","autonomy","autonomã­a"
"2922","waiting","esperando"
"2923","stabilization","estabilizaciã"
"2924","engine","motor"
"2925","ficas","ficas"
"2926","inform","informã"
"2927","drive","conducir"
"2928","Egypt","egipto"
"2929","we welcome","acogemos"
"2930","harmonize","armonizar"
"2931","dangerous","peligrosos"
"2932","donors","donantes"
"2933","excessive","excesiva"
"2934","demands","demandas"
"2935","carried out","realizadas"
"2936","fires","incendios"
"2937","Models","modelos"
"2938","suspension","suspensiã"
"2939","integrated","integrada"
"2940","legislature","legislatura"
"2941","Eros","eros"
"2942","establish","establezca"
"2943","meeting","encuentro"
"2944","euromediterrã","euromediterrã"
"2945","putting up","poniendo"
"2946","democratization","democratizaciã"
"2947","french","franceses"
"2948","read","leer"
"2949","arrive","llegan"
"2950","dangerous","peligroso"
"2951","mile","millã"
"2952","use","usar"
"2953","different","distinta"
"2954","case file","expediente"
"2955","rent","renta"
"2956","creating","creando"
"2957","unions","sindicatos"
"2958","Applicable","aplicables"
"2959","ultraperifã","ultraperifã"
"2960","contemplate","contempla"
"2961","go","vayan"
"2962","having","detener"
"2963","minimum","mã­nimos"
"2964","will allow","permitirã­a"
"2965","imposes","impone"
"2966","black","negro"
"2967","brought about","provocado"
"2968","negative","negativas"
"2969","known","conocido"
"2970","freely","libremente"
"2971","lacks","carece"
"2972","involved","implicadas"
"2973","required","obligatorio"
"2974","multilateral","multilateral"
"2975","minimal","mã­nima"
"2976","to integrate","integrar"
"2977","collection","recogida"
"2978","tradition","tradiciã"
"2979","prize","premio"
"2980","lead","dirigir"
"2981","inserted","introducido"
"2982","evaluations","evaluaciones"
"2983","ada","ada"
"2984","mines","minas"
"2985","different","distinto"
"2986","expressly","expresamente"
"2987","Attempts","intentos"
"2988","coming","procedente"
"2989","chechnya","chechenia"
"2990","gas","combustible"
"2991","valuation","valoraciã"
"2992","slopes","pendientes"
"2993","news","noticias"
"2994","stay","permanecer"
"2995","highlights","destaca"
"2996","quote","citar"
"2997","transposiciã","transposiciã"
"2998","pressures","presiones"
"2999","result","resultar"
"3000","speed","velocidad"
"3001","malt","malta"
"3002","assets","activos"
"3003","ambitious","ambiciosos"
"3004","OK","vale"
"3005","business","negocios"
"3006","essence","esencia"
"3007","concerns","concierne"
"3008","satisfied","satisfecho"
"3009","formulaciã","formulaciã"
"3010","detriment","detrimento"
"3011","participate","participan"
"3012","serãan","serã­an"
"3013","keep going","continua"
"3014","manifestations","manifestaciones"
"3015","multinationals","multinacionales"
"3016","troops","tropas"
"3017","inequalities","desigualdades"
"3018","increasing","aumentando"
"3019","we will be","estaremos"
"3020","fifth","quinto"
"3021","transformation","transformaciã"
"3022","respect","respete"
"3023","balance","balance"
"3024","perodos","perã­odos"
"3025","provisional","provisional"
"3026","private","privadas"
"3027","substantial","sustancial"
"3028","liking","agrado"
"3029","head","cabeza"
"3030","global","globales"
"3031","cover","cubrir"
"3032","result","resulte"
"3033","Christians","cristianos"
"3034","socio","socioeconã"
"3035","dangers","peligros"
"3036","asking","pidiendo"
"3037","uniform","uniforme"
"3038","will","haremos"
"3039","give them","darles"
"3040","communist","comunista"
"3041","Africans","africanos"
"3042","habitual","habitual"
"3043","proliferation","proliferaciã"
"3044","Going","idã"
"3045","sensation","sensaciã"
"3046","nine","nueve"
"3047","support","apoye"
"3048","be based","basarse"
"3049","negative","negativos"
"3050","thinking","pensando"
"3051","incorporation","incorporaciã"
"3052","London","londres"
"3053","investors","inversores"
"3054","preserve","preservar"
"3055","easily","cilmente"
"3056","established","establecidas"
"3057","pleasure","placer"
"3058","smart","inteligente"
"3059","right","derecha"
"3060","effectively","eficazmente"
"3061","comply","cumpla"
"3062","biodiversity","biodiversidad"
"3063","going","pasando"
"3064","preparations","preparativos"
"3065","uem","uem"
"3066","meaning","significado"
"3067","modern","moderna"
"3068","faith","fe"
"3069","in","in"
"3070","internal","internas"
"3071","works","obras"
"3072","fuels","combustibles"
"3073","confused","confusiã"
"3074","modify","modifica"
"3075","moves","movimientos"
"3076","catering","abastecimiento"
"3077","Portuguese","portuguesa"
"3078","deep","profundo"
"3079","beneficiaries","beneficiarios"
"3080","ask him","pedirle"
"3081","be used","utilizarse"
"3082","appear","figuran"
"3083","to reiterate","reiterar"
"3084","excess","exceso"
"3085","abstained","abstenido"
"3086","collective","colectiva"
"3087","body","cuerpo"
"3088","atlã","atlã"
"3089","continuity","continuidad"
"3090","prisoners","presos"
"3091","import","importa"
"3092","drã","drã"
"3093","to benefit","beneficiarse"
"3094","programming","programaciã"
"3095","oblige","obliga"
"3096","precedents","precedentes"
"3097","used","utilizados"
"3098","carb","carbã"
"3099","perform","realizan"
"3100","foreign","extranjeros"
"3101","headquarters","sede"
"3102","simple","sencilla"
"3103","tools","herramientas"
"3104","give","darse"
"3105","ratified","ratificado"
"3106","desirable","deseable"
"3107","sincere","sincero"
"3108","obligatory","obligatoria"
"3109","radical","radical"
"3110","formal","formal"
"3111","ataã","ataã"
"3112","tãºnez","tãºnez"
"3113","exec","exenciã"
"3114","favorably","favorablemente"
"3115","borrowed","prestado"
"3116","cultures","culturas"
"3117","unemployment","paro"
"3118","lives","vive"
"3119","positively","positivamente"
"3120","affected","afectado"
"3121","tenãan","tenã­an"
"3122","influence","influir"
"3123","monetary","monetario"
"3124","threshold","umbral"
"3125","fellow citizens","conciudadanos"
"3126","answer back","responde"
"3127","simple","sencillo"
"3128","ndoles","ndoles"
"3129","twelve","doce"
"3130","drivers","conductores"
"3131","administrations","administraciones"
"3132","keeping","manteniendo"
"3133","Israel","israelã­"
"3134","establish","establecen"
"3135","tips","consejos"
"3136","affirmed","afirmaciã"
"3137","expose","exponer"
"3138","taxation","fiscalidad"
"3139","for","parã"
"3140","tolerance","tolerancia"
"3141","granted","concedido"
"3142","enter to","entraã"
"3143","leader","lã­der"
"3144","decisive","decisiva"
"3145","Institute","instituto"
"3146","colleges","universidades"
"3147","I was going","iba"
"3148","attacks","atentados"
"3149","crops","cultivos"
"3150","chosen","elegidos"
"3151","criminals","criminales"
"3152","pretext","pretexto"
"3153","fire","fuego"
"3154","suggestions","sugerencias"
"3155","Brazil","brasil"
"3156","sailing","navegaciã"
"3157","to focus","centrarse"
"3158","rigor","rigor"
"3159","contents","contenidos"
"3160","mine","miã"
"3161","trans-European","transeuropeas"
"3162","traditions","tradiciones"
"3163","justify","justificar"
"3164","land","tierras"
"3165","textile","textil"
"3166","will follow","seguiremos"
"3167","nto","nto"
"3168","implicaciã","implicaciã"
"3169","Useful","ãºtiles"
"3170","keep","mantenerse"
"3171","wednesday","rcoles"
"3172","were","fueran"
"3173","mutual","mutua"
"3174","enlarged","ampliada"
"3175","limits","limita"
"3176","convinced","convencida"
"3177","games","juegos"
"3178","want","quiera"
"3179","strict","estricta"
"3180","to incorporate","incorporar"
"3181","replace","sustituir"
"3182","delegations","delegaciones"
"3183","murder","asesinato"
"3184","criminal","penales"
"3185","remarkable","notable"
"3186","announced","anunciado"
"3187","island","isla"
"3188","flows","flujos"
"3189","dublãn","dublã­n"
"3190","combinaciã","combinaciã"
"3191","blood","sangre"
"3192","share","cuota"
"3193","delicate","delicado"
"3194","clauses","usulas"
"3195","binding","vinculantes"
"3196","vote","votã"
"3197","suffering","sufrimiento"
"3198","support","apoyen"
"3199","parliamentary","parlamentarias"
"3200","transparent","transparentes"
"3201","defenders","defensores"
"3202","digital","digital"
"3203","makes","realiza"
"3204","planned","previstas"
"3205","Friday","viernes"
"3206","reconciliation","reconciliaciã"
"3207","prepared","preparado"
"3208","resides","reside"
"3209","to correct","corregir"
"3210","News","noticia"
"3211","satisfied","satisfechos"
"3212","Monday","lunes"
"3213","site","sitio"
"3214","dica","dica"
"3215","mountain","montaã"
"3216","perhaps","acaso"
"3217","remember","recuerda"
"3218","Libya","libia"
"3219","celebrated","celebrada"
"3220","irregularities","irregularidades"
"3221","enthusiasm","entusiasmo"
"3222","russian","rusa"
"3223","missions","misiones"
"3224","to be continue","continuarã"
"3225","third","tercero"
"3226","plants","plantas"
"3227","fall","caã­da"
"3228","condemn","condenar"
"3229","doha","doha"
"3230","here","aquã"
"3231","would be","seria"
"3232","prevents","impide"
"3233","save","salvar"
"3234","taking","tomando"
"3235","I arrived","llegã"
"3236","rightly","acertadamente"
"3237","Albania","lã­bano"
"3238","keep","mantienen"
"3239","tactical","ctico"
"3240","definitely","definitivamente"
"3241","feed","piensos"
"3242","at","alde"
"3243","satisfactory","satisfactorio"
"3244","identify","identificaciã"
"3245","usually","normalmente"
"3246","renovation","renovaciã"
"3247","going forward","avanzando"
"3248","pick up","recoge"
"3249","bei","bei"
"3250","I had","tuve"
"3251","ashton","ashton"
"3252","extraordinarily","extraordinariamente"
"3253","travel","viajar"
"3254","macroeconã","macroeconã"
"3255","durable","duradera"
"3256","Switzerland","suiza"
"3257","definitive","definitivo"
"3258","authors","autores"
"3259","plenary","plenaria"
"3260","contribute","contribuyen"
"3261","we had","tuvimos"
"3262","card","tarjeta"
"3263","conservatives","conservadores"
"3264","infractions","infracciã"
"3265","participate","participen"
"3266","sent","enviado"
"3267","worry","preocupan"
"3268","anniversary","aniversario"
"3269","appointment","nombramiento"
"3270","forecasts","previsiones"
"3271","guarantee","garanticen"
"3272","to complete","completar"
"3273","moldova","moldova"
"3274","complicated","complicado"
"3275","ãa","ã­a"
"3276","having","habiendo"
"3277","Syria","siria"
"3278","xxi","xxi"
"3279","excellent","ptimo"
"3280","performance","rendimiento"
"3281","propose","proponen"
"3282","let's hope","esperemos"
"3283","continually","continuamente"
"3284","intensify","intensificar"
"3285","said","dije"
"3286","movilizaciã","movilizaciã"
"3287","call","llama"
"3288","to provoke","provocar"
"3289","separated","separado"
"3290","religious","religiosa"
"3291","we take","tomamos"
"3292","legislations","legislaciones"
"3293","previous","previo"
"3294","terrorist","terrorista"
"3295","flights","vuelos"
"3296","consider","considere"
"3297","limitation","limitaciã"
"3298","sensitive","sensible"
"3299","reform","reformar"
"3300","pharma","farmacã"
"3301","insecurity","inseguridad"
"3302","contradiction","contradicciã"
"3303","sat","satã"
"3304","request","solicita"
"3305","neos","neos"
"3306","safeguard","salvaguardar"
"3307","silence","silencio"
"3308","to adapt","adaptar"
"3309","burma","birmania"
"3310","exceptional","excepcional"
"3311","strictly","estrictamente"
"3312","patten","patten"
"3313","suppose","suponen"
"3314","coins","monedas"
"3315","planes","aviones"
"3316","welcomes","acoge"
"3317","current","vigentes"
"3318","hundred","ciento"
"3319","we say","decimos"
"3320","made","hicieron"
"3321","storage","almacenamiento"
"3322","friend","amigo"
"3323","to compete","competir"
"3324","put","pongan"
"3325","supporting","apoyando"
"3326","trends","tendencias"
"3327","dead","muerto"
"3328","covers","abarca"
"3329","To return to","volverã"
"3330","starting","empezando"
"3331","made","realizada"
"3332","extraordinary","extraordinaria"
"3333","I speak","hablo"
"3334","priority","prioritario"
"3335","strict","estrictos"
"3336","modified","modificado"
"3337","lines","neas"
"3338","logos","logos"
"3339","too much","demasiada"
"3340","links","vã­nculos"
"3341","occur","ocurrir"
"3342","pidiã","pidiã"
"3343","Mr","sres"
"3344","doors","puertas"
"3345","continue","continãºe"
"3346","depth","profundidad"
"3347","relevant","pertinente"
"3348","lower","inferior"
"3349","cs","cs"
"3350","remove","retirar"
"3351","conviction","convicciã"
"3352","director","director"
"3353","essentially","esencialmente"
"3354","domã","domã"
"3355","they had","tuvieron"
"3356","have","disponen"
"3357","human","humanas"
"3358","win","ganar"
"3359","extend","extensiã"
"3360","represent","representar"
"3361","young","joven"
"3362","persecuted","persecuciã"
"3363","transmit","transmisiã"
"3364","torture","tortura"
"3365","limited","limitada"
"3366","micamente","micamente"
"3367","to emit","emitir"
"3368","dimensions","dimensiones"
"3369","favorable","favorables"
"3370","we celebrated","celebramos"
"3371","gravity","gravedad"
"3372","AIDS","sida"
"3373","ambitious","ambiciosa"
"3374","carry","llevarã"
"3375","exhaustive","exhaustiva"
"3376","interrupt","interrumpe"
"3377","center","centra"
"3378","August","agosto"
"3379","produce","produzcan"
"3380","they try","tratan"
"3381","diminished","disminuciã"
"3382","highly","altamente"
"3383","foresee","prever"
"3384","pillars","pilares"
"3385","we talked","habã­amos"
"3386","bilateral","bilateral"
"3387","revoluciã","revoluciã"
"3388","caused","causado"
"3389","entails","conlleva"
"3390","sights","miras"
"3391","solarium","solana"
"3392","nicas","nticas"
"3393","they belong","pertenecen"
"3394","I recognize","reconozco"
"3395","support","apoyan"
"3396","take care","ocuparse"
"3397","traditional","tradicional"
"3398","hãºngara","hãºngara"
"3399","cross-border","transfronterizos"
"3400","we finish","acabamos"
"3401","complex","compleja"
"3402","Fortunately","afortunadamente"
"3403","react","reaccionar"
"3404","we will vote","votaremos"
"3405","electors","electores"
"3406","gradual","gradual"
"3407","never","jamã"
"3408","run","corre"
"3409","carefully","detenidamente"
"3410","affirmed","afirmado"
"3411","vertsale","vertsale"
"3412","verheugen","verheugen"
"3413","battle","batalla"
"3414","occupy","ocupan"
"3415","direct","directas"
"3416","addressed","abordado"
"3417","crusta","crã­tico"
"3418","mundializaciã","mundializaciã"
"3419","appropriate","apropiada"
"3420","victim","vã­ctima"
"3421","remind them","recordarles"
"3422","fabricaciã","fabricaciã"
"3423","qualifications","cualificaciones"
"3424","trust","confiar"
"3425","producing","produciendo"
"3426","urgent","urgentes"
"3427","distinciã","distinciã"
"3428","restore","restablecer"
"3429","events","sucesos"
"3430","galileo","galileo"
"3431","due","debida"
"3432","pursue","proseguir"
"3433","separation","separaciã"
"3434","unilateral","unilateral"
"3435","adapt","adaptarse"
"3436","perform","realizarse"
"3437","normative","normativas"
"3438","look","mirar"
"3439","ask him","preguntarle"
"3440","availability","disponibilidad"
"3441","search","busca"
"3442","discussions","discusiones"
"3443","justify","justificaciã"
"3444","publicaciã","publicaciã"
"3445","daily","diario"
"3446","productivity","productividad"
"3447","convinced","convencidos"
"3448","religious","religiosas"
"3449","planned","previstos"
"3450","defend","defiende"
"3451","Greek","griego"
"3452","jubilaciã","jubilaciã"
"3453","modalities","modalidades"
"3454","breach","incumplimiento"
"3455","sign","firmar"
"3456","coordinated","coordinada"
"3457","osce","osce"
"3458","intervened","intervenido"
"3459","serious","serias"
"3460","excessive","excesivo"
"3461","aras","aras"
"3462","to procure","procurar"
"3463","port","puerto"
"3464","cig","cig"
"3465","Slovenia","eslovenia"
"3466","denies","rechaza"
"3467","they finish","acaban"
"3468","they take","toman"
"3469","informal","informal"
"3470","submitted","sometido"
"3471","consonance","consonancia"
"3472","Russian","ruso"
"3473","knock","golpe"
"3474","viability","viabilidad"
"3475","hard","duro"
"3476","harãa","harã­a"
"3477","ecofin","ecofin"
"3478","suppose","suponer"
"3479","observatory","observatorio"
"3480","think","piensan"
"3481","Qualify","calificaciã"
"3482","English","inglã"
"3483","southern","meridional"
"3484","mexico","xico"
"3485","ales","ales"
"3486","except","salvo"
"3487","proposed","propuso"
"3488","reasonable","razonables"
"3489","fish","pescado"
"3490","taking","tomã"
"3491","comitology","comitologã­a"
"3492","Asia","asiã"
"3493","mentions","menciã"
"3494","autumn","otoã"
"3495","multiannual","plurianual"
"3496","perform","realice"
"3497","dictatorship","dictadura"
"3498","federation","federaciã"
"3499","know","conocen"
"3500","detailed","detallada"
"3501","shortage","escasez"
"3502","route","ruta"
"3503","âº","âº"
"3504","hard","dura"
"3505","lessons","lecciones"
"3506","reinforced","reforzada"
"3507","sentence","frase"
"3508","noise","ruido"
"3509","welcome","acoger"
"3510","formula","rmula"
"3511","empeã","empeã"
"3512","emphasis","nfasis"
"3513","I was","fuese"
"3514","xido","xido"
"3515","volunteer","voluntaria"
"3516","mother","madre"
"3517","esteem","estima"
"3518","cars","coches"
"3519","link","vã­nculo"
"3520","pro","pro"
"3521","celebrates","celebrã"
"3522","I tried","trataba"
"3523","treat","tratarse"
"3524","occur","producirse"
"3525","school","escuela"
"3526","Scotland","escocia"
"3527","immunity","inmunidad"
"3528","leave","deje"
"3529","will increase","aumentarã"
"3530","liked","gustado"
"3531","receives","recibe"
"3532","confirm","confirma"
"3533","schulz","schulz"
"3534","bovine","vacuno"
"3535","researchers","investigadores"
"3536","ignore","ignorar"
"3537","benefits","prestaciones"
"3538","use","emplear"
"3539","based","basadas"
"3540","they contain","contienen"
"3541","comprehensive","exhaustivo"
"3542","see","vean"
"3543","fischler","fischler"
"3544","direct","directos"
"3545","usually","suele"
"3546","references","referencias"
"3547","tactics","cticos"
"3548","legally","legalmente"
"3549","will be","quedarã"
"3550","primordial","primordial"
"3551","chemists","quã­micos"
"3552","generate","genera"
"3553","happening","ocurriendo"
"3554","sensitive","sensibles"
"3555","they ask","piden"
"3556","proposed","propuestos"
"3557","worried","preocupados"
"3558","beneplã","beneplã"
"3559","irish","irlandeses"
"3560","disasters","desastres"
"3561","kyoto","kyoto"
"3562","legislate","legislar"
"3563","uncertainty","incertidumbre"
"3564","to buy","comprar"
"3565","harmful","perjudicial"
"3566","brok","brok"
"3567","fi","fi"
"3568","congo","congo"
"3569","sk","sk"
"3570","pay","rendir"
"3571","executive","ejecutivo"
"3572","food","alimenticios"
"3573","voluntary","voluntario"
"3574","loan","presta"
"3575","ruler","regla"
"3576","magnitude","magnitud"
"3577","diffusiã","difusiã"
"3578","santer","santer"
"3579","Circumscription","circunscripciã"
"3580","performances","actuaciones"
"3581","contaminants","contaminantes"
"3582","ambitions","ambiciones"
"3583","let's forget","olvidemos"
"3584","convert","convierte"
"3585","censorship","censura"
"3586","Stockholm","estocolmo"
"3587","frontex","frontex"
"3588","concluded","concluido"
"3589","selecciã","selecciã"
"3590","could","pudieran"
"3591","sales","ventas"
"3592","travels","viajes"
"3593","strict","estricto"
"3594","german","alemanes"
"3595","inspections","inspecciones"
"3596","it happened","ocurriã"
"3597","transaction","transacciã"
"3598","witnesses","testigos"
"3599","sections","apartados"
"3600","aspirations","aspiraciones"
"3601","lists","listas"
"3602","opens","abre"
"3603","we approved","aprobamos"
"3604","encourage","alentar"
"3605","vice president","vicepresidenta"
"3606","exist","existan"
"3607","career","carrera"
"3608","basics","fundamentos"
"3609","peaceful","pacã­fico"
"3610","thirty","treinta"
"3611","inspections","inspecciã"
"3612","return","vuelta"
"3613","xenophobia","xenofobia"
"3614","soccer","fãºtbol"
"3615","respect","respeta"
"3616","pilot","piloto"
